file,session_id,role,verified_invariant,content_preview
AGENT_IN_IDE.md,1,assistant,False,-in-IDE Integration Profile  **How Orthogonal Engineering applies to AI agents operating inside IDEs
AGENT_IN_IDE.md,1,assistant,False,Loop  ### Formal State Machine  ``` idle → planning → executing → validating → complete             
AGENT_IN_IDE.md,1,assistant,False,Actions  ### Layer 0: Input Canal (Pre-Generation)  **In LLM context:** Shape the prompt before gene
AGENT_IN_IDE.md,1,assistant,False,"receives: ""Fix the bug in user_controller.py"" # Pre-processing (Layer 0): constraints = {     ""no_ne"
AGENT_IN_IDE.md,1,assistant,True,"reads file, gets: file_content = """""" # ... actual code ... # TODO: fix this later # ... more code .."
AGENT_IN_IDE.md,1,human,True,Constraints Met (`user_constraints`)  **Invariant:** User-stated requirements preserved.  **Check:**
AGENT_IN_IDE.md,1,assistant,False,Loop  ```python
AGENT_IN_IDE.md,1,human,False,"query user_query = ""Fix the bug in user_controller.py""  # 2. Planning (Layer 0) constraints = extrac"
CHANGELOG_v0.3.0.md,2,assistant,False,Integration  **Release Date:** 2026-01-19  ## 🆕 What's New  ### Empirical Grounding Complete  **File
CHANGELOG_v0.3.0.md,2,assistant,False,Integration  **Formal Ontology:** - ✅ **`ontology/orthogonal_ontology.json`** - Complete JSON schema
